,ibns_20u,vgs_m1,name,type,time,OK
0,20.05689,0.6833092,tran_LayGtKttmmTtVt_29,Lay,Fri Mar  7 21:56:06 2025,True
1,20.717969999999998,0.6881091,tran_LayGtKttmmTtVt_28,Lay,Fri Mar  7 21:56:03 2025,True
2,20.80669,0.6873824,tran_LayGtKttmmTtVt_27,Lay,Fri Mar  7 21:56:00 2025,True
3,21.02158,0.6883379,tran_LayGtKttmmTtVt_26,Lay,Fri Mar  7 21:55:58 2025,True
4,20.42978,0.6809798,tran_LayGtKttmmTtVt_25,Lay,Fri Mar  7 21:55:55 2025,True
5,20.57402,0.6841473,tran_LayGtKttmmTtVt_24,Lay,Fri Mar  7 21:55:53 2025,True
6,20.18125,0.6852851,tran_LayGtKttmmTtVt_23,Lay,Fri Mar  7 21:55:50 2025,True
7,19.70673,0.6841671,tran_LayGtKttmmTtVt_22,Lay,Fri Mar  7 21:55:47 2025,True
8,19.13735,0.6837839,tran_LayGtKttmmTtVt_21,Lay,Fri Mar  7 21:55:45 2025,True
9,19.88258,0.6851179,tran_LayGtKttmmTtVt_20,Lay,Fri Mar  7 21:55:42 2025,True
10,20.12126,0.6838558,tran_LayGtKttmmTtVt_19,Lay,Fri Mar  7 21:55:40 2025,True
11,19.97746,0.6823549,tran_LayGtKttmmTtVt_18,Lay,Fri Mar  7 21:55:38 2025,True
12,19.561040000000002,0.6818835,tran_LayGtKttmmTtVt_17,Lay,Fri Mar  7 21:55:36 2025,True
13,22.21921,0.6892294,tran_LayGtKttmmTtVt_16,Lay,Fri Mar  7 21:55:33 2025,True
14,20.38496,0.6855006,tran_LayGtKttmmTtVt_15,Lay,Fri Mar  7 21:55:29 2025,True
15,19.9141,0.6841744,tran_LayGtKttmmTtVt_14,Lay,Fri Mar  7 21:55:25 2025,True
16,20.49045,0.6863034,tran_LayGtKttmmTtVt_13,Lay,Fri Mar  7 21:55:22 2025,True
17,21.92,0.6882761,tran_LayGtKttmmTtVt_12,Lay,Fri Mar  7 21:55:20 2025,True
18,20.300420000000003,0.6871433,tran_LayGtKttmmTtVt_11,Lay,Fri Mar  7 21:55:18 2025,True
19,21.125919999999997,0.6874282,tran_LayGtKttmmTtVt_10,Lay,Fri Mar  7 21:55:16 2025,True
20,21.62227,0.6869893,tran_LayGtKttmmTtVt_9,Lay,Fri Mar  7 21:55:14 2025,True
21,21.52134,0.6862542,tran_LayGtKttmmTtVt_8,Lay,Fri Mar  7 21:55:12 2025,True
22,20.28558,0.6858564,tran_LayGtKttmmTtVt_7,Lay,Fri Mar  7 21:55:09 2025,True
23,20.725089999999998,0.6844073,tran_LayGtKttmmTtVt_6,Lay,Fri Mar  7 21:55:07 2025,True
24,21.71209,0.6876834,tran_LayGtKttmmTtVt_5,Lay,Fri Mar  7 21:55:05 2025,True
25,21.11901,0.6874559,tran_LayGtKttmmTtVt_4,Lay,Fri Mar  7 21:55:03 2025,True
26,20.71479,0.6855069,tran_LayGtKttmmTtVt_3,Lay,Fri Mar  7 21:55:01 2025,True
27,20.60337,0.6859365,tran_LayGtKttmmTtVt_2,Lay,Fri Mar  7 21:54:59 2025,True
28,20.29246,0.6854611,tran_LayGtKttmmTtVt_1,Lay,Fri Mar  7 21:54:57 2025,True
29,22.48891,0.6920953,tran_LayGtKttmmTtVt,Lay,Fri Mar  7 21:54:54 2025,True
